Index,Biomass species,M,Ash ,VM,FC,C,H,O,N,PS,FT,HR,FR,Solid phase,Liquid phase,Gas phase,FR_disponible,H_C,O_C,FT_squared
1,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,550,10.0,100.0,35.0,44.9,20.1,1,1.6050434705775314,0.7821805275969077,302500
2,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,650,10.0,100.0,31.75,41.25,27.0,1,1.6050434705775314,0.7821805275969077,422500
3,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,750,10.0,100.0,30.2,40.6,29.2,1,1.6050434705775314,0.7821805275969077,562500
4,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,850,10.0,100.0,28.6,36.36,35.04,1,1.6050434705775314,0.7821805275969077,722500
5,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,550,10.0,100.0,32.85,54.38,12.77,1,1.4400195815430736,0.8863860588996021,302500
6,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,650,10.0,100.0,30.14,55.56,14.3,1,1.4400195815430736,0.8863860588996021,422500
7,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,750,10.0,100.0,28.4,54.75,16.85,1,1.4400195815430736,0.8863860588996021,562500
8,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,850,10.0,100.0,26.28,53.22,20.5,1,1.4400195815430736,0.8863860588996021,722500
12,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,400,10.0,100.0,26.53,33.33,39.73,0,1.3229518334501134,0.5976609205952306,160000
13,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,500,10.0,100.0,24.84,31.64,42.9,0,1.3229518334501134,0.5976609205952306,250000
14,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,600,10.0,50.0,24.1,31.02,44.1,0,1.3229518334501134,0.5976609205952306,360000
15,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,700,10.0,50.0,23.33,29.3,45.8,0,1.3229518334501134,0.5976609205952306,490000
16,wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,400,10.0,100.0,56.69,25.04,14.8,0,1.686207514479671,0.8198070638289561,160000
